user_id,survey_age,survey_army,survey_region,survey_family,survey_family_monthly_income,gender,annual_income,total_assets
u0001,21,21,부산,4,3559470,M,28102694,37051873
u0002,26,0,전북,4,2367346,F,23790107,17383774
u0003,25,0,광주,5,4684463,F,34636836,13244038
u0004,34,0,제주,5,4518380,F,23868036,33128902
u0005,34,21,대전,3,4417383,M,36128319,11037646
u0006,21,19,서울,6,5334074,M,40252878,14085796
u0007,24,18,경북,1,7144279,M,46236725,24908028
u0008,22,0,전북,3,4545360,F,49535099,10992642
u0009,29,0,충남,5,5255664,F,31131161,7534792
u0010,23,0,대전,3,6090305,F,41992975,0
u0011,29,18,충북,3,5831214,M,41910281,5635016
u0012,23,0,대구,3,4078364,F,39933824,5539722
u0013,34,0,인천,4,5144565,F,30246487,16585666
u0014,25,18,대전,3,5821309,M,23663186,8895417
u0015,29,18,강원,4,3307472,M,42024022,36580190
u0016,23,19,경남,5,6895308,M,15517649,4423710
u0017,29,19,경기,4,7147383,M,32785926,29006466
u0018,33,0,대전,2,3915829,F,5356427,17197529
u0019,34,19,제주,5,5290505,M,19963170,23067740
u0020,21,19,울산,3,5963417,M,25474392,22460195
u0021,28,0,경남,2,4181578,F,49160690,0
u0022,23,18,경북,2,5722420,M,44257296,14884473
u0023,25,21,광주,4,5244883,M,29352783,12377718
u0024,23,20,경북,2,2798122,M,44752437,3670219
u0025,23,19,전북,2,5688741,M,46651475,19596260
u0026,27,0,경남,3,3349786,F,34072021,32165403
u0027,33,21,경기,3,6408804,M,19387462,0
u0028,21,0,인천,4,3993183,F,33505052,9655303
u0029,31,0,충북,4,4758071,F,34825291,2542338
u0030,24,19,충남,4,7058418,M,21210547,15717778
u0031,19,0,대전,3,5744572,F,40404561,11743787
u0032,28,18,광주,2,3380789,M,39357742,8943227
u0033,23,18,서울,6,3477625,M,41340512,21895068
u0034,26,0,광주,1,4101045,F,39347077,31361813
u0035,23,0,전남,5,5591966,F,44758116,41613186
u0036,27,0,광주,2,5537449,F,33848063,7603709
u0037,29,21,경북,5,3735346,M,38421421,0
u0038,24,21,경기,3,3249185,M,31227116,20591964
u0039,26,0,서울,3,5422375,F,28986009,31104847
u0040,28,21,경남,4,4727209,M,52058995,23136899
u0041,26,18,광주,4,8235823,M,11474775,31063470
u0042,31,18,경남,3,5054905,M,46521119,12745133
u0043,21,20,울산,4,7721379,M,28553509,8904255
u0044,25,0,충남,4,3244424,F,26999541,16154359
u0045,32,21,대전,1,2640180,M,39138929,11694468
u0046,25,0,대전,1,3319872,F,18124684,21630940
u0047,32,20,전북,3,6783694,M,26207723,24697677
